"지수종류별(1)",2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"KRX 300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,940.37,932.19,988.75,1017.31,958.83,987.66,1023.57,1010.28,1083.67,1086.79,1111.24,1204.22,1215.33,1140.79,1238.63,1286.54,1252.74,1223.06,1237.29,1086.63,1032.68,1117.76,1080.2,1066.71,1144.89,1188.33,1184.41,1170.65,1086.43,1089.05,1107.21,1114.82,1164.7,1110.92,1125.89,1167.28,1143.72,1186.63,1171.35,1138.47,1163.19,1078.4,1108.41,1117.36,1158.35,1183.54,1194.25,1170.71,1126.16,1150.13,1148.69,1138.99,1156.54,1159.15,1197.13,1185.75,1149.92,1118.49,1130.75,1090.42,1118.87,1131.85,1161.46,1205.73,1177.72,1158.04,1122.94,1071.96,1086.68,1140.37,1121.61,1104.94,1074.38,1075.93,1125.21,1121,1115.96,1113.15,1144.44,1161.4,1164.92,1152.2,1141.56,1169.18,1199.64,1211.33,1257.2,1287.23,1364.16,1398.54,1409.39,1383.91,1420.26,1501.13,1476.2,1481.26,1542.97,1456.18,1464.88,1499.68,1448.62,1395,1374.62,1393.26,1398.23,1218.34,1256.69,1215.06,1318.11,1312.51,1279.71,1317.85,1217.07,1267.97,1212.99,1177.09,1238.29,1260.41,1258.92,1336.59,1291.81
"KTOP 30",3368.33,3282.73,3261.2,3439.84,3197.63,3231.35,3195.5,3304.67,3404.08,3438.66,3603.8,3656.38,3513.63,3655.53,3774.31,4003.63,4431.2,4548.94,5030.62,5044.31,5411.79,5881.45,5565.55,5505.9,4647.41,4868.12,4904,5243.57,5289.3,4835.71,4631.97,4279.48,4371.04,3561.17,3404.45,3591.52,3615.79,3334.67,3715.25,4123.09,4215.1,4203.87,4716.89,4844.56,5165.33,4899.73,4903.2,5341.65,5039.76,5042.68,5299.04,5523.18,5232.37,5489.75,5767.26,5777.83,6133.43,6122.57,6254.54,6775.18,6886.08,6438.42,7127.39,7362.68,7211.14,7054.59,7145.33,6377.72,6104.66,6462.36,6320.76,6110.35,6522.22,6772.3,6799.52,6729.03,6326.85,6324.8,6455.07,6457.19,6756.58,6379.72,6407.83,6620.9,6439.02,6600.13,6424.41,6195.53,6354.98,5972.42,6265.7,6201.27,6640.29,6810.08,6973.92,6874.37,6436.94,6592.96,6533.77,6405.55,6534.55,6634.56,6685.04,6622.07,6421.46,6231.23,6435.98,6008.06,6186.13,6141.94,6368.69,6456.14,6290.72,6253.31,5762.38,5490.21,5754.72,6018.92,6035.73,5998.17,5856.36,5931.44,6222.74,6165.21,6102.27,6040.35,6175.36,6440.63,6504.37,6488.02,6388.98,6559.16,6654.95,6784.99,7020.22,6988.02,7518.68,7549.1,7643.84,7542.3,7650.99,8194.97,8018.45,8067.77,8478.73,8082.12,8099.67,8102.32,7683.26,7604.98,7520.19,7599.62,7552.24,6561.81,6737.94,6519.64,7074.37,7133.23,6796.86,6979,6499.91,6723.76,6539.82,6429.6,6693.82,6783.94,6823.68,7218.64,6986.3
"KRX 100",2842.02,2800.46,2825.1,2948.43,2738.29,2687.39,2708.73,2787.73,2835.48,2826.73,2949.26,2954.89,2833.33,2964.44,3027.96,3175.64,3447.58,3530.94,3868.68,3781.61,3942,4125.58,3844.22,3864.01,3356.25,3479.13,3515.86,3798.24,3827.23,3453.81,3294.16,3061.25,3015.65,2412.19,2290.8,2373.06,2450.59,2241.3,2544.02,2831.57,2865.05,2881.33,3273.48,3330.22,3551.16,3354.07,3320.96,3578.76,3392.2,3363.17,3553.54,3660.94,3445.68,3545.95,3702.42,3664.14,3925.7,3923.25,4030.42,4386.97,4401.2,4140.42,4513.09,4695.31,4577.09,4460.47,4482.1,3935.06,3759.01,4065.93,3925.77,3879.12,4170.33,4331.05,4344.1,4324.52,4020.82,4023.58,4090.77,4107.25,4282.75,4074.27,4120.49,4266.15,4193.87,4344,4262.29,4112.73,4221.74,3948.46,4083.18,4115.31,4276.5,4358.79,4407.24,4358,4174.76,4241.25,4231.65,4177.67,4227.8,4277.72,4425.04,4382.14,4232.86,4105.06,4142.46,3942.92,4022.31,4050.63,4108.15,4270.14,4173.97,4029.73,3920.02,3760.8,3809.19,3988,3937.91,3872.49,3764.41,3794.16,3943.69,3935.96,3905.11,3879.18,3968.64,4050.9,4070.09,4041.39,3986.8,4079,4184.12,4210.26,4358.48,4431.58,4737.61,4850.88,4901.55,4829.02,4957.04,5230.79,5126.39,5155.01,5319.89,5050.79,5069.13,5195.95,4967.95,4831.38,4808.26,4836.49,4829.11,4264.18,4367.55,4209.6,4594.85,4568.38,4451.24,4591.15,4258.37,4472.96,4319.32,4198.4,4426.07,4463.69,4481.09,4750.22,4607.7
"KRX 100 Equal Weighted",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1011.57,937.44,1086.22,1258.01,1281.14,1268.1,1388.63,1411.44,1494.83,1427.72,1416.92,1506.72,1430.52,1443.55,1512.53,1531.99,1452.43,1529.38,1603.83,1625.98,1770.43,1758.48,1755.67,1891.67,1905.15,1769.82,1925.53,1986.38,1930.62,1947.67,2005.73,1821.61,1641.86,1777.48,1708.01,1672.9,1815.73,1872.07,1838.7,1741.36,1668.59,1685.76,1675.77,1744.36,1819.5,1732.12,1733.46,1799.46,1785.19,1833.47,1808.57,1746.76,1783.31,1675.51,1769.35,1720.53,1823.25,1844.8,1847.78,1857.19,1822.73,1820.85,1838.58,1820.63,1827.39,1863.43,1927.26,1972.64,1926.54,1831.22,1828.17,1738.65,1782.36,1832.29,1856.96,1974.93,1946.8,1899.05,1865.84,1820.66,1817.23,1845.2,1846.39,1805.29,1794.93,1777.11,1821.17,1850.7,1811.69,1757.79,1783.75,1765.62,1785.84,1724,1684.63,1732.55,1742.24,1800.23,1824.11,1867.94,2024.3,2019.23,2031.1,1990.28,1966.53,2053.5,2086.56,2087.87,2190.57,2044.11,2053.16,2089.68,2012.03,1976.22,1932.15,1940.36,1985.55,1722.86,1827.35,1805.45,1881.96,1923.84,1873.68,1908.13,1765.88,1805.5,1698.88,1640.93,1694.23,1694.47,1704.59,1758.35,1646.32
"KRX 자동차",866.31,831.01,830.67,826.65,737.41,756.98,704.34,776.6,802.26,774.63,760.45,743.48,666.24,694.9,705.49,675.88,743.61,797.7,900.93,848.89,832.86,776.21,734.15,749.06,696.96,658.43,718.41,795.66,778.49,697.12,709.33,714.21,742.21,558.47,447.04,447.93,478.41,477.17,541.11,678.35,717.71,733.26,853.91,948.34,1041.34,1009.19,950.48,1104.17,1002.25,1048.35,1085.24,1243.25,1339.53,1394.1,1376.23,1372.57,1608.4,1746.39,1765.43,1812.81,1813.37,1841.78,2205.2,2524.6,2578.42,2570.21,2558.39,2285.02,2323.58,2383.09,2295.45,2215.44,2220.71,2234.91,2282.33,2524.19,2364.76,2292.91,2337.77,2328.94,2329.89,2068.99,2126.06,2067.84,1946.37,2105.96,2139.04,1957.4,2141.76,2185.21,2219.37,2311.04,2336.27,2361.57,2357.09,2236.53,2237.58,2294.8,2350.7,2231.35,2229.53,2236.97,2338.2,2299.98,2064.84,1962.32,1994.57,1912.71,1872.84,1814.4,1808.88,1850.48,1747.26,1592.49,1604.25,1612.96,1783.7,1819.08,1791.93,1807.53,1711.94,1777.47,1814.31,1806.64,1801.64,1732.21,1755.33,1777.68,1824.11,1770.55,1648.17,1742.5,1647.79,1733.28,1706.86,1611.07,1814.08,1777.82,1715.09,1666.41,1674,1785.78,1791.13,1740.06,1733.14,1692.21,1576.07,1629.77,1463.24,1412.53,1475.04,1464.96,1521.94,1265.46,1284.72,1350.81,1498.3,1486.88,1400.15,1611.67,1465.41,1561.14,1516.3,1522.75,1573.09,1479.67,1482.09,1508.51,1406.43
"KRX 반도체",1043.74,1011.77,937.43,1021.06,971.42,896.65,945.25,1016.12,1075.64,1012.47,1048.27,1024.05,889.76,954.38,1015.97,1079.39,1205.17,1297.08,1437.15,1437.57,1453.88,1292.56,1197.55,1158.02,1097.94,1141.41,1253.57,1326.1,1403.41,1154.95,996.43,887.45,891.65,702.69,653.03,639.95,726.43,756.33,984.47,1096.11,1138.87,1115.02,1246.8,1438.33,1491.28,1397.18,1398.96,1563.97,1452.26,1394.3,1609.38,1748.46,1705.01,1735.9,1684.18,1574.39,1668.01,1630.38,1668.62,1747.61,1846.15,1745.17,1835.29,1806.4,1660.81,1578.78,1561.95,1282.72,1273.18,1444.43,1444.29,1435.34,1560.92,1696.88,1666.3,1642.89,1526.31,1555.41,1520.99,1485.9,1504.99,1468.92,1514.38,1589.73,1533.93,1658.77,1708.84,1742.47,1840.25,1675.49,1649.6,1655.46,1721.85,1781.03,1786.18,1737.83,1786.37,1827.08,1810.52,1876.66,1904.63,1876.94,1793.53,1802.23,1715.37,1767.98,1805.17,1876.74,1915.8,1949.8,1973.44,1974.19,2026.9,1891.56,1783.36,1665.26,1588.81,1659.68,1651.6,1709.43,1578.52,1654.25,1677.82,1672.62,1689.82,1776.82,1962.26,1923.26,1989.94,1900.34,1869.45,2058.43,2125.71,2011.39,2104.82,2233.89,2367.35,2594.11,2573.84,2587.95,2748.89,2821.95,2788.93,2783.8,2715.19,2715.55,2672.72,2636.26,2732.06,2481.92,2562.04,2467.13,2261.15,1971.91,1922.28,1749.01,2030.85,2094.22,2158.24,2328.78,2015.15,2065.03,2044.07,1999.93,2193.36,2319.98,2277.75,2703.65,2599.12
"KRX 헬스케어",946.18,960.45,934,894.77,839.89,788.31,793.49,864.77,854.93,886.98,997.86,1014.66,877.64,904.73,916.08,918.9,1106.22,1131.26,1294.69,1321.58,1261.92,1235.89,1256.77,1296.43,1177.26,1231.85,1214.32,1320.19,1210.97,1215.53,1128.15,1084.32,1000.88,754.58,894.47,965.7,954.21,975.84,1070.13,1107.6,1018.44,1069.83,1111.05,1136.51,1119.66,1142.6,1059.22,1139.01,1072.32,1077.63,1124.61,1072.56,1017.27,1074.7,1039.73,1131.9,1191.42,1153.55,1202.24,1290.79,1237.52,1157.09,1221.77,1223.33,1161.81,1285.29,1476.03,1337.32,1287.68,1350.64,1287.96,1302.64,1307.33,1157.08,1160.37,1071.48,1153.7,1245.72,1242.48,1327.31,1390.15,1451.69,1374.58,1430.82,1509.6,1569.96,1636.79,1532.21,1467.58,1397.85,1728.4,1474.99,1561.2,1544,1511.18,1442.52,1544.95,1602.77,1492.33,1565.58,1525.5,1499.29,1390.38,1391.3,1521.12,1498.13,1435.21,1451.68,1530.27,1775.76,1996.36,2318.35,2453.89,2990.62,2781.98,2671.04,2484.96,2682.21,2976.13,2940.49,3373.02,3053.44,3163.21,2992.26,3119.92,3122.22,3064.43,2954.6,2875.47,2417.04,2324.29,2434.37,2264.69,2371.16,2312.39,2384.99,2603.41,2728.17,2628.88,2727.56,2838.76,3139.54,3592.75,3845.25,4759.7,4650.91,4635.74,4288.33,4212.27,4163.38,3768.19,4131.34,4378.2,3202.59,3552.81,3571.79,3607.18,3640.64,3414.25,3529.77,3085.38,3030.19,2691.34,2476.42,2431.33,2843.84,2677.91,2915.31,2729.2
"KRX 은행",996.85,947.59,1044.95,1081.42,995.03,997.46,1039.95,984.92,979.48,990.04,1015.29,1048.69,1042.34,1137.81,1142.62,1131.83,1135.63,1118.18,1204.87,1124.49,1122.8,1096.83,995.03,1072.28,983.44,947.45,929.35,1089.33,1017.7,942.63,894.93,915.17,765.74,514.93,495.01,506.95,544.78,440.36,488.17,593.6,651.71,671.81,856.97,830.09,972.21,946.13,915.78,915.57,839.71,831.95,907,930.49,839.71,853.64,904.21,849.78,874.48,869.93,902.62,1013.7,965.77,933.73,994.02,997.54,909.63,908.9,934.16,808.22,747.49,807.31,746.86,704.04,791.14,796.89,820.95,752.52,724.17,741.25,708.95,695.92,728.07,692.87,674.29,727.85,770.67,799.81,771.89,722.84,760.77,689.17,738.67,724.22,773.83,834.53,803.65,853.67,802.49,815.72,796.32,762.81,761.93,772.87,865.15,889.65,826.31,826.2,764.61,709.36,696.46,709.59,699.02,748.13,727.1,690.86,683.3,653.6,657.65,682.8,636.92,598.17,567.45,555.87,608.04,634.27,613.74,581.09,631.53,662.87,652.28,725.27,715.33,719.4,753.23,761.2,779.76,817.79,853.35,930.29,990.25,942.96,919.94,918.83,912.52,936.86,999.03,957.45,890.17,929.79,835.65,848.63,864.18,839.43,868.69,789.61,779.08,757.7,787.26,767.35,728.91,756.98,745.65,765.32,721.66,670.92,709.77,685.09,710.66,723.56,652.89
"KRX 에너지화학",-,-,-,-,-,-,-,-,-,-,-,-,987.7,1031.15,1117.66,1297.26,1526.1,1518.83,1743.95,1683.09,1889.76,2230.43,1990.16,1858.54,1395.54,1634.05,1480.6,1631.29,1667.25,1520.71,1514.71,1310.45,1350.11,1010.16,975.55,1037.52,1111.9,1055.84,1189.37,1357.53,1400.57,1340.31,1401.63,1501.47,1632.44,1481.79,1508.69,1617.3,1488.02,1546.13,1656.31,1800.65,1697.67,1879.59,2009.04,2214.4,2318.26,2380.6,2525.5,2700.73,3055.38,2730.35,3372.74,3688.03,3641.38,3334.42,3431.59,2754.49,2260.04,2571.22,2387.29,2261.49,2629.63,2714.32,2502.15,2177.26,2089.01,2095.26,2193.99,2236.94,2347.47,2186.19,2200.71,2326.63,2222.8,2213.31,2057.99,1935.02,1965.58,1783.14,1957.06,1959.36,2079.35,2108.81,2067.21,2075.7,1901.54,1910.76,1845.95,1820.16,1762.7,1880.58,1852.98,1739.91,1620.69,1460.57,1488.08,1437.51,1555.83,1701.62,1694.76,1968.96,1885.61,1986.86,1837.95,1725.03,1839.58,1939.16,2013.45,2044.43,1982.76,2085.26,2306.66,2131.76,2077.14,1947.64,1982.77,1992.49,2046.47,2010.16,1996.71,2120.15,2127.52,2151.06,2252.58,2214.05,2395.06,2324.23,2516.97,2669.09,2648.62,2674.11,2733.39,2764.26,2909.68,2792.1,2749.69,2649.22,2577.94,2498.45,2566.83,2512.29,2532.19,2314.88,2301.52,2224.68,2369.95,2425.52,2276.56,2258.74,2108.42,2151.03,2116.76,2055.29,2042.66,2035.11,1976.01,2060.15,1896.64
